受访编号,数据性质,样本组,每周时长,平台数,切换频率,手机,C4_换平台重新配对,C4_按键符号不一致,C4_一柄只能伺候一平台,C4_摇杆漂移,C4_按键失灵,C4_无线断连,C4_续航不足,C4_改键软件难用,D1a_兴趣,D1b_最吸引,D1c_怀疑点,D2_599,D2_639,D2_699,D2_799,D2_899,E3_重量上限,F1_NFC
S261,模拟,D 流失用户,7–14 小时,2 个,每周,Android,4,3,4,4,4,5,4,3,非常感兴趣,不用重新改键,续航,可能买,可能买,说不清,说不清,说不清,200–250g,经常
S262,模拟,D 流失用户,3–7 小时,2 个,每天多次,iPhone 14 及以下,4,4,4,2,2,4,4,3,说不清,一键切换,续航,可能买,可能买,说不清,说不清,说不清,250–300g,经常
S263,模拟,D 流失用户,14 小时以上,4 个及以上,几乎不,Android,4,4,4,3,4,3,2,4,比较感兴趣,不用重新改键,品控与耐用,可能买,可能买,说不清,说不清,说不清,250–300g,从不用
S264,模拟,D 流失用户,14 小时以上,2 个,每天,iPhone 15 及以后,5,3,4,4,5,4,4,4,说不清,一键切换,品控与耐用,可能不买,可能不买,可能不买,可能不买,可能不买,250–300g,偶尔
S265,模拟,D 流失用户,14 小时以上,3 个,几乎不,iPhone 14 及以下,3,2,4,4,5,3,3,4,不太感兴趣,一键切换,品控与耐用,说不清,可能不买,可能不买,可能不买,可能不买,250–300g,经常
S266,模拟,D 流失用户,3–7 小时,4 个及以上,每月,iPhone 14 及以下,3,4,3,5,5,5,3,2,比较感兴趣,都不吸引,授权与兼容性,一定买,一定买,一定买,可能买,说不清,250–300g,从不用
S267,模拟,D 流失用户,7–14 小时,3 个,每天,Android,3,4,3,3,4,5,3,4,说不清,不用重新改键,价格偏高,可能不买,一定不买,一定不买,一定不买,一定不买,200–250g,没有 Switch
S268,模拟,D 流失用户,3–7 小时,2 个,几乎不,iPhone 15 及以后,5,5,5,3,4,4,3,1,比较感兴趣,不用重新改键,价格偏高,说不清,说不清,可能不买,可能不买,可能不买,250–300g,从不用
S269,模拟,D 流失用户,7–14 小时,4 个及以上,几乎不,iPhone 15 及以后,5,4,5,4,3,5,3,4,比较感兴趣,一键切换,续航,可能买,可能买,说不清,说不清,说不清,250–300g,经常
S270,模拟,D 流失用户,3–7 小时,3 个,每月,iPhone 14 及以下,4,3,2,5,5,3,2,5,比较感兴趣,不用重新改键,续航,可能买,可能买,说不清,说不清,说不清,200–250g,从不用
S271,模拟,D 流失用户,7–14 小时,2 个,每天,iPhone 15 及以后,3,4,4,4,4,4,2,2,不太感兴趣,都不吸引,品控与耐用,可能不买,可能不买,可能不买,可能不买,可能不买,无所谓,经常
S272,模拟,D 流失用户,7–14 小时,2 个,几乎不,Android,5,3,4,3,4,5,3,3,说不清,一键切换,手感需实机验证,说不清,说不清,可能不买,可能不买,可能不买,200–250g,偶尔
S273,模拟,D 流失用户,14 小时以上,2 个,每周,Android,5,4,4,4,5,3,4,2,说不清,三模连接,续航,一定不买,一定不买,一定不买,一定不买,一定不买,200–250g,偶尔
S274,模拟,D 流失用户,3–7 小时,3 个,每周,Android,3,3,3,3,4,4,2,2,说不清,不用重新改键,无明显怀疑,说不清,可能不买,可能不买,可能不买,可能不买,250–300g,没有 Switch
S275,模拟,D 流失用户,7–14 小时,3 个,每月,iPhone 15 及以后,4,4,2,4,4,4,4,5,非常感兴趣,一键切换,品控与耐用,一定买,一定买,可能买,可能买,说不清,250–300g,从不用
S276,模拟,D 流失用户,14 小时以上,4 个及以上,每天,iPhone 14 及以下,5,5,4,3,3,5,3,3,说不清,充电底座,授权与兼容性,可能不买,一定不买,一定不买,一定不买,一定不买,200–250g,经常
S277,模拟,D 流失用户,7–14 小时,2 个,每月,iPhone 15 及以后,3,2,4,5,3,2,3,3,不太感兴趣,都不吸引,手感需实机验证,说不清,可能不买,可能不买,可能不买,可能不买,200–250g,从不用
S278,模拟,D 流失用户,7–14 小时,4 个及以上,每月,iPhone 14 及以下,3,3,4,5,4,4,3,4,说不清,一键切换,手感需实机验证,可能买,可能买,可能买,说不清,说不清,250–300g,从不用
S279,模拟,D 流失用户,7–14 小时,1 个,每月,iPhone 14 及以下,5,3,5,4,5,3,4,4,比较感兴趣,一键切换,授权与兼容性,说不清,说不清,可能不买,可能不买,可能不买,300g 以上,从不用
S280,模拟,D 流失用户,3–7 小时,3 个,每月,iPhone 15 及以后,3,4,5,2,3,5,4,2,比较感兴趣,都不吸引,品控与耐用,可能买,可能买,说不清,说不清,说不清,200–250g,偶尔
S281,模拟,D 流失用户,3–7 小时,3 个,每周,Android,4,3,4,5,5,5,4,1,说不清,一键切换,续航,说不清,说不清,说不清,可能不买,可能不买,250–300g,偶尔
S282,模拟,D 流失用户,7–14 小时,4 个及以上,每周,iPhone 14 及以下,3,4,4,4,3,4,4,2,说不清,三模连接,价格偏高,可能不买,可能不买,可能不买,可能不买,可能不买,200–250g,从不用
S283,模拟,D 流失用户,7–14 小时,1 个,几乎不,Android,5,3,4,2,4,5,2,4,说不清,可更换键帽布局,手感需实机验证,可能不买,可能不买,可能不买,可能不买,可能不买,250–300g,没有 Switch
S284,模拟,D 流失用户,7–14 小时,2 个,每月,iPhone 15 及以后,5,2,3,5,5,5,4,2,不太感兴趣,一键切换,续航,一定不买,一定不买,一定不买,一定不买,一定不买,250–300g,偶尔
S285,模拟,D 流失用户,3–7 小时,2 个,每周,Android,5,4,4,4,4,3,5,4,非常感兴趣,都不吸引,无明显怀疑,可能买,可能买,说不清,说不清,说不清,200–250g,经常
S286,模拟,D 流失用户,14 小时以上,3 个,几乎不,iPhone 14 及以下,5,4,4,5,4,5,3,3,比较感兴趣,一键切换,手感需实机验证,可能买,说不清,说不清,可能不买,可能不买,200–250g,经常
S287,模拟,D 流失用户,7–14 小时,2 个,每月,iPhone 15 及以后,5,3,4,5,5,5,4,4,说不清,都不吸引,续航,可能买,说不清,说不清,可能不买,可能不买,200–250g,经常
S288,模拟,D 流失用户,7–14 小时,3 个,几乎不,Android,3,4,4,5,4,4,3,4,说不清,都不吸引,手感需实机验证,可能买,说不清,说不清,说不清,说不清,200–250g,从不用
S289,模拟,D 流失用户,14 小时以上,3 个,每月,Android,5,2,4,3,4,5,4,2,不太感兴趣,都不吸引,手感需实机验证,可能不买,一定不买,一定不买,一定不买,一定不买,200g 以下,从不用
S290,模拟,D 流失用户,14 小时以上,3 个,每周,Android,5,5,5,3,4,5,3,2,非常不感兴趣,充电底座,手感需实机验证,一定不买,一定不买,一定不买,一定不买,一定不买,200–250g,从不用
S291,模拟,D 流失用户,14 小时以上,2 个,每周,iPhone 15 及以后,4,4,2,2,5,4,3,4,说不清,一键切换,手感需实机验证,说不清,可能不买,可能不买,可能不买,可能不买,250–300g,从不用
S292,模拟,D 流失用户,7–14 小时,2 个,每周,iPhone 14 及以下,4,4,4,5,4,5,5,4,比较感兴趣,不用重新改键,无明显怀疑,可能买,可能买,说不清,说不清,说不清,200–250g,从不用
S293,模拟,D 流失用户,7–14 小时,3 个,每天,其他,2,4,5,4,4,3,5,3,说不清,都不吸引,续航,可能买,说不清,说不清,说不清,说不清,200–250g,从不用
S294,模拟,D 流失用户,7–14 小时,3 个,几乎不,iPhone 15 及以后,4,3,4,5,4,5,3,3,比较感兴趣,一键切换,手感需实机验证,一定买,一定买,一定买,一定买,说不清,200g 以下,没有 Switch
S295,模拟,D 流失用户,7–14 小时,3 个,每周,Android,3,4,5,4,4,5,3,3,说不清,一键切换,品控与耐用,一定不买,一定不买,一定不买,一定不买,一定不买,200–250g,从不用
S296,模拟,D 流失用户,14 小时以上,2 个,每周,Android,5,2,2,3,5,3,3,5,说不清,可更换键帽布局,续航,说不清,说不清,说不清,可能不买,可能不买,200–250g,偶尔
S297,模拟,D 流失用户,7–14 小时,2 个,每周,iPhone 14 及以下,5,5,4,4,5,3,4,3,比较感兴趣,一键切换,授权与兼容性,可能买,说不清,说不清,说不清,可能不买,250–300g,经常
S298,模拟,D 流失用户,14 小时以上,1 个,几乎不,iPhone 15 及以后,3,2,4,5,5,4,4,3,比较感兴趣,一键切换,品控与耐用,一定买,一定买,可能买,说不清,说不清,200–250g,没有 Switch
S299,模拟,D 流失用户,3–7 小时,1 个,每天,Android,3,3,3,1,5,5,4,3,说不清,不用重新改键,授权与兼容性,说不清,可能不买,可能不买,可能不买,可能不买,无所谓,从不用
S300,模拟,D 流失用户,7–14 小时,3 个,每周,Android,5,2,5,4,4,5,4,2,非常不感兴趣,都不吸引,品控与耐用,可能买,可能买,说不清,说不清,说不清,200–250g,偶尔
